case_id,province,city,group,infection_case,confirmed,latitude,longitude
1001,Philippines,Roxas,TRUE,Jay,50,14.6103278,121.0080574
1002,Latvia,Mērsrags,TRUE,Commercial,170,57.330777,23.102146
1003,Ukraine,Voyinka,TRUE,Corscot,135,45.8699,33.99138
1004,Croatia,Novi Vinodolski,FALSE,Brickson Park,156,45.1285255,14.7897992
1005,Portugal,Quinta,FALSE,Troy,195,40.9515138,-8.5904113
1006,Peru,Huasahuasi,TRUE,Muir,192,-11.2648012,-75.6491753
1007,China,Shimen,FALSE,Service,160,29.584292,111.380014
1008,Spain,Lleida,FALSE,Hazelcrest,100,41.6445836,0.587269
1009,Indonesia,Krajan Rowokangkung,FALSE,Boyd,99,-8.2307484,113.2998705
1010,Poland,Małkinia Górna,TRUE,2nd,80,52.6934663,22.0269962
1011,Philippines,Bislig,TRUE,Fieldstone,20,8.1890712,126.3547613
1012,Philippines,Looc,FALSE,South,131,12.261245,121.990929
1013,Bolivia,Coripata,FALSE,West,43,-16.3134305,-67.6036362
1014,Indonesia,Gapluk,FALSE,Clemons,62,-7.2033646,111.6630914
1015,United Kingdom,Linton,TRUE,Maywood,18,54.0542238,-2.0215836
1016,Slovenia,Ruše,TRUE,Memorial,126,46.5399962,15.5073987
1017,Czech Republic,Dolany,TRUE,Marquette,105,49.6498731,17.3224082
1018,Croatia,Ferdinandovac,TRUE,Dakota,53,46.0523136,17.2018057
1019,Poland,Wilga,TRUE,Moland,125,51.8407513,21.4105498
1020,Poland,Książ Wielkopolski,FALSE,Sugar,90,52.0609041,17.239347
1021,China,Dayan,FALSE,Trailsway,66,26.8718026,100.2358502
1022,Croatia,Imotski,TRUE,Division,98,43.4471085,17.2139989
1023,Thailand,Yarang,TRUE,Ridgeway,76,6.6930902,101.3090737
1024,Ivory Coast,Agnibilékrou,TRUE,Dorton,125,7.1302807,-3.2030756
1025,Morocco,Zoumi,TRUE,Waxwing,84,34.8032705,-5.3442408
1026,Czech Republic,Bílovice,FALSE,Bonner,30,49.0996492,17.5496163
1027,Mali,Bla,FALSE,Blue Bill Park,36,12.9549865,-5.7563151
1028,Russia,Udachny,FALSE,Homewood,196,66.407021,112.2977807
1029,Russia,Rostov,TRUE,Bayside,111,57.195623,39.4131527
1030,Philippines,Baugo,FALSE,Longview,186,10.3826093,124.9206233
1031,United States,Milwaukee,FALSE,Stoughton,159,42.3745311,-88.1263369
1032,Peru,Canta,TRUE,Rigney,110,-11.4691392,-76.6232202
1033,Philippines,Angatel,TRUE,Forster,26,15.8137804,120.3404633
1034,Indonesia,Kedungreja,TRUE,Luster,156,-7.5153339,108.7660364
1035,Germany,Kiel,FALSE,David,8,54.3418823,10.1150681
1036,Brazil,São Gonçalo do Sapucaí,TRUE,Golf View,104,-21.8930428,-45.5939292
1037,Russia,Shelopugino,FALSE,Valley Edge,183,51.6455621,117.5825811
1038,Sweden,Kävlinge,TRUE,Lakewood Gardens,112,55.8625501,13.1435643
1039,Israel,Kefar Yona,FALSE,Eliot,138,32.317719,34.933615
1040,Bosnia and Herzegovina,Gostovići,TRUE,Clarendon,85,43.7356628,17.8317085
1041,Sri Lanka,Peliyagoda,FALSE,Sycamore,130,6.964703,79.881693
1042,Brazil,Maracanã,TRUE,Redwing,164,-0.8086425,-47.4882762
1043,Portugal,Pomar,FALSE,Westerfield,131,42.046011,-8.4825685
1044,Netherlands,Nijmegen,FALSE,Sage,179,51.8417492,5.8715134
1045,United States,Chandler,TRUE,Crowley,67,33.3107008,-111.8749872
1046,Ukraine,Staryy Sambor,TRUE,Pepper Wood,149,49.443994,23.0037506
1047,Indonesia,Pasirjaya,FALSE,Arizona,180,-6.1788812,107.5209304
1048,China,Dahe,FALSE,Larry,106,38.135288,114.397004
1049,Kazakhstan,Kostanay,TRUE,Killdeer,99,53.2198089,63.6354232
1050,China,Jishan,FALSE,Gina,112,35.604025,110.983333
1051,Argentina,Zárate,FALSE,Wayridge,172,-34.7264519,-58.6055652
1052,Central African Republic,Kaga Bandoro,TRUE,Pierstorff,71,6.9960368,19.1850317
1053,Indonesia,Hewa,FALSE,Portage,122,-8.5713352,122.6898986
1054,Indonesia,Gedangan,TRUE,Gateway,2,-7.3933814,112.7330892
1055,Niger,Alaghsas,FALSE,Oriole,118,17.0187,8.0168
1056,Norway,Trondheim,FALSE,Buhler,117,63.4251464,10.4677043
1057,United States,Springfield,TRUE,Charing Cross,109,42.1014803,-72.5766759
1058,Chile,Lampa,FALSE,Mandrake,70,-33.2827093,-70.879328
1059,Poland,Widuchowa,FALSE,Acker,166,53.1395216,14.4504726
1060,China,Wang’er,TRUE,Shelley,60,40.1919977,122.1700081
1061,Spain,Cartagena,TRUE,Colorado,104,37.5968793,-1.0346774
1062,Sweden,Luleå,TRUE,Redwing,166,65.5966234,22.118526
1063,Colombia,El Águila,FALSE,Kipling,185,4.9428987,-76.0285737
1064,China,Gucheng,FALSE,Dwight,100,37.347409,115.965874
1065,China,Wuxue Shi,TRUE,Vera,173,29.844107,115.561217
1066,Gambia,Galleh Manda,FALSE,1st,20,13.449097,-14.769285
1067,Peru,Santiago de Chuco,TRUE,Hooker,162,-8.1468836,-78.1721189
1068,China,Wangqinzhuang,FALSE,La Follette,100,39.228905,117.101355
1069,Germany,Berlin,FALSE,Amoth,13,52.5121401,13.414046
1070,China,Yongfa,TRUE,Valley Edge,8,23.364295,116.700277
1071,Philippines,Manaulanan,TRUE,Sutteridge,65,7.0539999,124.6719971
1072,Philippines,Bugo,TRUE,Sachtjen,84,8.5067807,124.759938
1073,Indonesia,Martapura,FALSE,Heffernan,19,-3.411598,114.8452
1074,Russia,Chernyshkovskiy,FALSE,Melody,44,48.3696989,42.1773513
1075,Nigeria,Dankalwa,TRUE,John Wall,86,11.7447935,12.1818557
1076,Russia,Sim,FALSE,Bay,196,54.9896116,57.6874206
